1.1.1.4. Egyes termékek és szolgáltatások éves fogyasztói átlagára (nyers adatok) [Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kódszám;Termék, szolgáltatás;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
42463;Tanuló gitár, akusztikus, mûanyaghúros is, db;11 810;15 680;18 480;20 800;23 010;24 830;27 160;28 370;28 540;28 540;27 340;26 120;26 140;24 350;23 400;23 980;23 870;24 020;22 980;20 550;20 560;21 250;21 650;22 090;22 470;24 210;26 050;30 090;34 300;35 900
43101;Karikagyûrû, 14 karátos aranyból, sima és mintás, g;3 520;4 500;4 510;4 740;4 960;5 210;5 300;5 420;5 420;5 410;5 450;5 840;6 310;6 950;8 170;9 130;10 910;14 290;15 520;16 040;16 340;16 680;17 530;18 610;19 120;23 760;27 730;33 690;38 340;41 770
50102;Brikett, 100 kg;1 310;1 810;2 120;2 260;2 510;2 640;2 950;3 070;3 140;3 350;3 480;3 750;4 090;4 440;5 070;5 420;5 870;6 810;7 200;7 410;7 410;7 480;7 730;8 140;8 530;8 760;9 210;14 800;20 140;18 660
50202;Egységes fûrészelt tûzifa, 100 kg;596;714;784;821;914;1 070;1 160;1 220;1 390;1 610;1 670;1 930;2 240;2 310;2 460;2 530;2 580;2 700;2 800;2 870;2 930;3 050;3 360;3 740;4 030;4 120;4 420;6 680;8 380;7 890
50501;Villamos energia, általános, 10 kWh;86;111;147;178;205;220;234;245;270;318;338;343;383;420;449;466;468;485;437;383;366;366;366;366;366;366;366;400;454;446
50502;Villamos energia, vezérelt, 10 kWh;39;51;69;83;96;102;108;114;133;161;176;186;226;250;266;293;299;308;278;243;233;233;233;233;233;233;233;272;339;330
50601;Vezetékes gáz, 1 m3;15;20;27;32;32;33;36;39;41;46;49;55;76;93;107;115;127;136;122;104;101;101;101;101;101;101;101;145;164;147
50701;Propán-butángáz 10,9–11,5 kg palack, cseredíj, palack;695;959;1 300;1 530;1 710;2 270;2 780;2 670;2 850;3 040;3 330;3 720;3 980;4 350;3 760;4 280;4 970;5 540;5 490;5 130;4 580;4 100;4 230;4 590;5 000;5 040;5 160;6 290;7 970;8 050
51016;Csempe, falburkoló, fehér és egyszínû színes, m2;919;1 120;1 310;1 470;1 530;1 600;1 720;1 770;1 770;1 790;1 760;1 720;1 790;1 820;1 890;1 970;1 980;2 100;2 140;2 170;2 220;2 290;2 390;2 500;2 620;2 740;2 890;4 590;5 480;5 450
51033;Laminált parketta, 7–9 mm-es (HDF vagy SPAN alapú), m2;..;..;..;..;..;..;..;..;2 520;2 470;2 420;2 350;2 370;2 410;2 450;2 460;2 450;2 490;2 480;2 490;2 560;2 580;2 620;2 710;2 910;3 070;3 330;4 530;5 400;5 340
51073;Diszperziós falfesték, beltéri használatra, 8–15 l-es kiszerelésben (Diszperzit, Tilatex, Diszkrilát stb.), 10 l;260;319;356;382;410;415;432;445;459;484;497;497;503;529;569;4 080;4 090;4 520;4 740;4 770;4 900;4 930;5 000;5 190;5 450;5 760;6 190;7 640;9 170;9 230
52112;Ágynemû-garnitúra, krepp, (nagypárna, paplan, kispárnahuzattal vagy anélkül), garnitúra;2 650;3 430;3 670;3 720;3 740;3 740;3 910;4 220;4 360;4 520;4 420;4 460;4 630;4 670;4 850;5 020;5 260;5 740;6 040;6 220;6 280;6 460;6 540;6 480;6 750;6 960;7 300;8 380;10 240;10 860
52119;Szintetikus takaró,  130–150 cm x 190–200 cm, db;2 720;3 300;3 860;4 390;4 590;4 670;4 830;5 170;5 320;5 460;5 400;5 330;5 440;5 530;5 770;5 940;6 260;6 430;6 460;6 450;6 580;6 580;6 550;6 520;6 750;6 790;7 210;7 910;9 020;8 950
52124;Frottírtörülközõ, 70x140 cm,  db;454;583;666;745;805;858;933;967;1 000;1 050;1 030;1 010;1 020;1 040;1 080;1 120;2 050;2 360;2 490;2 610;2 690;2 740;2 760;2 840;2 970;3 070;3 250;3 920;4 660;4 900
52544;Ceruzaelem, tartós, LR6–1,5V, 4 darabos csomag;..;..;..;..;..;..;..;..;262;265;270;268;274;267;268;272;1 050;1 040;1 010;1 000;1 010;1 010;1 020;1 010;1 030;988;1 020;1 110;1 270;1 310
52545;Energiatakarékos izzó (kompakt fényforrás), 12–23 W-os, (E27);..;..;2 350;2 480;2 610;2 570;2 500;2 430;2 150;1 990;1 870;1 770;1 710;1 620;1 620;1 540;1 450;1 430;1 340;1 220;1 200;1 190;1 160;1 120;1 100;..;..;..;..;..
52602;Mosogatószer, szintetikus folyékony, koncentrátum, liter;210;249;267;287;323;240;256;273;276;275;273;262;257;256;282;306;303;329;340;342;355;366;362;363;378;402;437;541;1 630;1 600
52605;Öblítõszer koncentrátum, 1600–2000 ml;..;..;..;..;483;491;529;563;542;537;536;520;509;512;562;600;620;656;654;634;648;644;630;631;680;1 110;1 180;1 440;1 910;1 980
52619;Mosópor, 1,4–3,75 kg-os kiszerelésbõl átszámolva, kg;..;..;..;..;..;..;..;..;..;..;..;..;2 780;2 800;3 000;2 730;2 550;2 790;1 530;1 470;950;985;949;956;977;952;983;1 260;1 990;2 020
52621;Általános folyékony tisztítószer, 750–1000 ml;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;648;675;649;647;649;652;659;674;706;721;826;1 050;1 090
53002;Tusfürdõ, 250 ml-es, mûanyag flakonban;..;312;352;396;446;476;509;530;505;493;472;449;456;461;485;509;529;581;590;566;561;560;567;583;618;633;643;757;934;982
53005;Fogkrém, 75 ml-es,  db;157;201;236;287;345;385;416;436;405;385;373;358;360;369;377;387;402;432;450;454;451;452;459;479;495;504;527;620;793;862
53007;Sampon, 200–250 g, vagy ml;213;271;327;378;439;475;502;536;543;538;523;519;527;544;590;625;649;672;684;666;676;682;687;705;752;754;787;913;1 170;1 240
53020;Folyékony szappan, 250–300 ml, utántöltõ kivételével;..;..;..;..;..;..;595;651;655;610;447;432;436;437;448;479;490;538;555;561;559;553;559;554;570;577;577;695;874;899
53021;Egészségügyi papír, 3 rétegû, 8 darabos kiszerelés;24;31;32;34;36;41;45;46;60;62;63;62;64;66;74;77;707;767;761;771;800;799;812;842;880;890;937;1 240;1 640;1 530
53022;Papírzsebkendõ, 90–100 db-os (3 rétegû);91;103;95;94;95;101;118;123;138;143;147;146;153;160;176;187;192;206;202;198;198;203;212;223;233;234;245;336;442;406
53174;Digitális lázmérõ, hónaljban mérõ;..;..;..;..;..;..;..;..;..;..;..;..;946;898;999;1 030;995;1 110;1 130;1 160;1 200;1 280;1 310;1 310;1 380;1 490;1 720;1 850;2 040;2 170
53188;Vérnyomásmérõ, digitális, felkaros, elemmel mûködõ, LCD kijelzõ;..;..;..;..;..;..;..;25 020;23 240;19 220;16 370;14 210;13 650;12 660;12 020;12 080;12 270;11 940;10 850;10 320;10 030;10 390;10 720;11 110;11 620;14 160;15 960;16 580;17 920;18 420
53192;Szemüvegkeret, fém vagy nikkelezett;3 030;3 970;4 770;5 350;6 100;6 600;7 220;7 730;8 110;8 510;8 580;8 910;9 150;9 390;9 640;10 030;10 150;10 840;11 140;11 740;12 550;13 070;13 900;14 550;15 730;17 350;19 140;21 550;24 580;26 120
53193;Lágy kontaktlencse, + - 6D, szférikus (SPF), 30 napos viseletre;..;..;..;..;..;..;..;3 730;3 390;3 360;3 440;3 500;3 730;3 650;3 470;3 560;3 530;3 810;3 870;3 850;4 350;4 380;4 460;4 560;4 690;5 690;5 790;6 320;6 880;6 990
53194;Szemüveglencse, mûanyag, + - 6D, antireflex réteg és felület keményítés nélkül;..;..;..;..;..;..;..;3 730;3 840;4 170;4 240;4 400;4 690;4 760;4 880;5 110;5 240;5 900;6 320;6 190;6 220;5 960;5 810;6 070;6 440;7 980;9 710;11 350;14 270;16 190
54042;Akkumulátor személygépkocsihoz, 12 V-os, 54–56 Amperórás (AH);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;18 140;18 470;20 090;20 310;20 310;20 260;20 550;21 080;22 100;22 750;23 650;25 320;29 360;33 840;36 260
54104;Autóbenzin, ólommentes, 95 oktánszámú, liter;97;120;142;156;185;234;226;223;233;244;260;277;276;293;278;336;383;426;418;408;358;332;355;381;381;359;444;490;606;606
54131;Gázolaj, liter;83;108;128;140;166;214;211;202;210;223;252;271;263;309;267;320;380;435;428;418;360;331;359;395;398;372;447;494;619;620
55003;Magyar Nemzet, 1 db;20;28;40;49;49;62;77;110;145;145;145;145;145;145;145;145;145;145;145;158;195;195;235;235;..;..;..;..;..;..
55004;Nemzeti Sport, 1 db;36;47;54;63;68;69;74;79;85;92;98;99;106;113;125;135;147;158;168;170;178;201;220;220;222;245;250;273;335;347
55045;Magyar Nõk Lapja, 1 db;65;76;85;99;117;128;139;152;159;165;169;170;172;180;188;195;200;213;223;229;238;247;258;280;316;339;362;438;529;599
56104;Macskaeledel, 400–415 g-os konzervdobozban;131;155;158;157;160;164;172;190;201;207;208;215;223;237;261;285;290;316;338;334;328;325;323;310;303;311;319;425;569;563
56153;Száraz kutyatáp, 2,5–5 kg, kg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1 350;1 510;1 590;1 590;1 600;1 610;1 630;1 760;1 970;2 050;2 190;2 830;1 480;1 500
61001;Önkormányzati összkomfortos lakás, havi bér, m2;40;55;65;76;86;100;118;137;147;169;185;195;218;256;284;300;302;338;351;357;358;362;370;371;369;385;391;400;440;468
61202;Társasház közös költsége, 50–60 m2;1 280;1 670;2 000;2 350;2 580;2 890;3 210;3 470;3 880;4 400;4 640;4 950;5 220;5 760;6 280;6 530;6 880;7 330;7 440;7 350;7 530;7 620;7 780;7 980;8 290;8 630;8 780;9 240;10 370;11 440
61504;Szemétszállítás (saját kuka, 110–120 literes), 1 ürítés díja;146;249;318;381;447;510;621;704;785;881;973;1 060;1 240;1 440;1 690;1 870;2 000;2 100;2 300;2 070;2 060;2 050;2 050;2 040;2 060;2 050;509;497;495;496
61601;Vízdíj, m3;59;74;91;108;124;138;152;161;172;190;209;223;252;273;300;301;316;331;316;296;296;296;296;296;297;297;298;298;298;297
61701;Csatornadíj, m3;42;54;69;83;97;110;122;132;146;174;195;212;247;278;307;327;362;374;362;363;363;364;364;364;364;365;366;366;366;363
63003;Férfi hajvágás, fõ;176;232;278;326;389;446;532;635;741;844;921;1 000;1 100;1 190;1 270;1 320;1 650;1 720;1 740;1 750;1 760;1 800;1 850;1 920;2 050;2 150;2 270;2 650;3 190;3 560
63005;Nõi hosszú haj mosása, vágása, szárítása;378;486;574;669;800;936;1 150;1 350;1 500;1 670;1 830;1 970;2 160;2 320;2 430;2 510;3 130;3 280;3 310;3 310;3 340;3 410;3 490;3 660;3 990;4 230;4 480;5 110;6 110;6 900
64211;Parkolás, óra;40;53;62;70;84;94;110;124;142;157;165;167;179;193;227;260;273;288;306;312;312;317;305;311;324;232;251;389;424;433
64304;Vonaljegy, db;34;45;55;66;79;84;89;94;104;120;135;150;179;204;224;243;249;259;306;306;305;306;305;306;308;308;308;306;340;391
64305;Tanuló havibérlet (Budapest nélkül), db;253;392;532;679;784;833;889;936;1 030;1 280;1 490;1 670;1 930;2 130;2 370;2 550;2 600;2 660;3 110;2 860;2 860;2 870;2 870;2 880;2 900;2 910;2 910;1 830;1 970;1 950
64306;Általános havibérlet (Budapest nélkül), db;1 040;1 340;1 670;2 130;2 470;2 620;2 790;2 940;3 240;3 720;4 230;4 670;5 130;5 680;6 280;6 710;6 810;6 940;8 550;7 930;7 930;7 930;7 910;7 910;7 950;7 940;7 930;4 990;5 380;5 560
64310;Nyugdíjas havibérlet (Budapest nélkül), db;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3 110;2 880;2 880;2 890;2 880;2 900;2 910;2 890;2 880;1 990;2 180;2 170
64402;Taxi (km-díj), km;62;80;97;109;126;149;159;165;175;183;194;202;213;227;232;233;240;247;257;263;265;267;272;285;297;304;316;381;448;465
64632;Teljesárú menetjegy, busz, db;84;102;126;146;164;172;184;196;213;231;244;261;296;300;309;361;365;370;370;370;370;370;370;370;370;370;370;370;435;500
64633;Teljesárú menetjegy gyorsvonat, db;720;848;1 000;1 140;1 310;1 390;1 480;1 560;1 670;1 840;1 950;2 090;2 650;2 780;2 840;3 320;3 360;3 410;3 410;3 410;3 410;3 410;3 410;3 410;3 410;3 410;3 410;3 410;3 410;3 410
65101;Szabványméretû levél belföldre, db;22;24;27;30;32;34;36;38;42;47;50;52;62;70;75;80;90;105;110;115;115;115;120;120;120;135;145;153;..;..
66105;Személygépjármû vezetõ tanfolyam;25 730;32 180;37 150;43 570;54 740;66 670;76 170;82 850;90 150;98 490;104 340;109 720;115 150;120 690;122 880;132 170;137 450;138 950;139 900;140 950;146 610;153 530;163 580;175 910;191 990;210 900;233 320;279 850;335 590;351 510
66303;Multiplex mozijegy, szombat este, helyszíni vétel, db;147;182;226;271;316;369;403;447;486;528;560;586;635;663;689;740;768;1 310;1 370;1 410;1 450;1 490;1 520;1 560;1 630;1 710;1 730;1 930;2 260;2 670
66501;Múzeumba belépõjegy, db;49;66;83;107;134;164;202;248;300;348;375;423;502;567;597;641;666;708;740;786;835;899;903;959;1 020;1 090;1 140;1 290;1 550;1 750
66502;Állatkertbe belépõjegy, 1 gyermek részére, vasárnap, db;50;79;105;137;169;218;270;304;348;417;467;537;638;701;778;847;953;1 040;1 080;1 080;1 130;1 250;1 380;1 520;1 680;1 810;1 850;2 120;2 760;3 120
68122;Apartman, 30–40 m2 körüli, 2 fõre, 1 éjszaka, hétvége, önellátás, IFA nélkül,szoba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16 460;17 210;19 700;24 170;26 700
68191;Szálloda 3 csillagos, 2 ágyas szoba, reggelivel, 2 fõre, hétvégén, 1 éj, idegenforgalmi adó nélkül,szoba;;;8 620;9 960;11 160;12 300;12 320;12 710;11 360;12 530;13 190;14 320;15 090;15 810;15 680;15 520;16 050;15 850;15 800;16 330;16 550;16 850;17 560;19 030;20 430;21 400;22 220;25 480;31 120;33 650
68192;Szálloda 4 csillagos, 2 ágyas szoba, félpanzióval, 2 fõre, hétköznap, 1 éj, idegenforgalmi adó nélkül, szoba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;23 950;24 280;23 680;24 590;24 790;25 040;25 980;26 400;28 010;29 400;31 070;30 520;31 930;35 760;52 750;56 140
68193;Panzió, zuhanyzós/fürdõszobás, 2 ágyas szoba, reggelivel, 2 fõre, hétköznap, idegenforgalmi adó nélkül, szoba;..;..;..;..;..;..;..;..;8 470;8 640;9 100;9 480;9 950;10 280;10 600;10 660;10 300;10 830;10 770;11 060;11 490;11 870;12 020;12 550;13 640;16 760;18 210;20 900;25 810;28 240
69131;Temetési szolgáltatás, egyedi megrendelésre (alapszolgáltatás: sírásás, ravatalozás, temetés levezetése, gyászkocsi stb.), fõ;14 920;19 020;22 890;26 740;31 620;36 270;41 660;47 140;55 600;63 250;69 340;74 180;133 940;145 450;158 530;167 990;175 340;185 160;190 050;193 050;196 720;202 680;209 010;220 330;238 500;264 340;287 580;325 560;395 790;440 910
69132;Temetési szolgáltatás, hamvasztás (alapszolgáltatás: ravatalozás, áldozati láng, temetés levezetése, gyászkocsi stb.), fõ;19 560;26 220;32 750;37 640;41 340;45 450;48 870;54 250;59 090;64 960;70 220;75 720;96 340;103 350;113 250;120 360;125 380;134 280;138 490;140 660;143 540;146 540;150 630;160 660;172 310;187 480;205 870;232 100;283 080;317 910
