1.1.1.4. Egyes termékek és szolgáltatások éves fogyasztói átlagára (nyers adatok) [Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kódszám;Termék, szolgáltatás;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
12402;Tejes margarin, 200–250 g, db;65;79;94;112;117;114;117;127;135;146;151;159;175;212;237;242;279;303;315;308;261;256;270;280;289;284;318;511;609;578
13002;Liszt, finomliszt, kg;37;58;63;56;51;66;78;70;74;89;70;75;104;134;123;122;172;165;167;140;135;138;137;145;158;172;192;215;213;222
13003;Rétesliszt, kg;45;67;76;73;69;81;93;87;91;105;92;95;128;166;154;153;212;206;211;178;172;177;178;191;206;214;233;393;426;331
13101;Rizs, hántolt, fényezetlen, kg ;110;150;148;156;173;171;172;169;167;180;175;179;210;278;333;301;293;301;295;288;303;317;318;323;345;390;432;607;758;733
13201;Kenyér, fehér, kg ;67;86;99;104;106;118;144;151;156;178;173;179;215;245;241;244;281;286;282;271;270;269;279;294;309;356;401;659;929;881
13202;Házi jellegû kenyér, kg;72;91;104;111;113;130;159;167;178;207;206;217;256;293;293;295;321;326;313;306;304;310;331;..;..;..;..;..;..;..
13206;Félbarna kenyér, kg;..;..;..;108;109;122;146;154;158;181;175;176;217;250;249;246;264;255;243;230;227;227;237;250;280;316;351;575;835;734
13301;Zsemle, 1 db;7;8;9;9;10;11;13;14;14;16;15;14;18;21;20;19;22;22;21;19;19;19;21;23;25;28;31;50;68;66
13305;Kakaós csiga, db;27;35;41;45;48;56;65;70;74;85;86;89;106;120;122;122;131;135;125;119;116;116;123;131;142;147;155;213;255;249
13404;Spagetti, 4 tojásos, gyári készítésû, 400-500 g-os, db;77;105;127;137;144;149;168;174;182;201;195;217;258;302;293;289;305;324;340;331;329;332;336;368;382;382;413;625;753;609
13501;Kristálycukor, kg  ;87;104;115;124;135;145;179;187;180;210;199;217;229;209;215;192;300;300;275;222;197;248;266;207;209;240;258;262;331;384
13601;Kakaópor, 70–100 g-os,doboz;160;201;217;241;263;281;323;377;449;503;533;507;513;231;242;260;292;395;416;380;338;336;344;361;379;404;405;484;656;685
13617;Mogyorós tejcsokoládé, 90–100 g, egész- vagy törtmogyorós tábla, db;99;123;132;143;168;183;193;206;223;229;226;217;225;242;252;262;274;301;280;275;294;306;296;296;310;335;362;396;530;559
13711;Jégkrém, dobozos, liter;..;..;..;..;..;..;571;652;714;804;835;861;917;988;1 040;1 080;1 080;1 120;1 110;1 100;1 100;1 100;1 140;1 170;1 260;1 290;1 370;1 610;2 070;2 090
13801;Háztartási keksz, csomagolt 800–1000 g, csomag;212;262;290;317;338;359;394;447;473;505;507;484;521;575;596;594;635;678;664;641;637;591;589;599;637;641;652;890;1 180;1 160
13910;Akácméz, kg;129;191;219;251;264;261;259;278;343;363;344;337;365;413;579;682;802;797;836;895;991;974;967;3 480;3 490;4 060;4 940;6 290;6 620;5 820
14002;Burgonya, kg;66;35;30;60;62;60;67;68;103;101;60;106;151;108;110;140;161;108;173;147;142;177;170;184;265;255;248;324;421;405
14101;Sárgarépa, kg;70;75;93;98;104;127;122;141;174;139;121;161;180;181;192;207;201;206;212;181;222;216;200;296;326;313;323;377;550;546
14103;Vöröshagyma, kg;55;37;83;117;72;94;95;111;135;125;85;132;171;147;142;205;186;138;178;179;177;198;165;196;332;287;274;341;570;465
14104;Fejes káposzta, kg ;54;51;48;61;61;74;73;106;106;74;100;119;128;138;110;166;159;139;168;146;186;191;178;225;317;283;290;377;440;441
14107;Paradicsom, kg;114;98;142;121;154;130;339;385;361;358;415;406;452;440;451;541;451;511;494;531;579;544;621;631;668;710;737;1 000;1 170;1 170
14108;Zöldpaprika (szántóföldi és primõr együtt), kg;109;152;146;120;139;147;497;483;499;264;247;300;338;357;426;591;556;578;648;604;650;726;700;746;875;907;910;1 150;1 340;1 390
14110;Uborka, kg;119;85;100;98;111;155;287;334;317;341;314;379;383;394;427;448;396;440;496;457;486;499;548;577;603;682;764;964;1 080;1 080
14111;Gomba, kg;250;279;304;323;347;383;416;427;442;462;474;504;551;601;636;658;665;692;710;717;730;743;761;792;905;1 000;1 080;1 300;1 640;1 780
14201;Alma, kg ;100;102;94;107;133;133;123;159;149;142;143;175;223;277;194;205;271;268;272;236;278;281;303;335;291;481;439;451;508;568
